PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10,Practical Assignment Average,Q1,Q2,Q3,Q4,Q5,Q6,Quiz Average,Assignment Average,PT1,PT2,Practical Test Average,Practical Average
1647028,100,96,100,94,92,88,100,62,31,91.5,12,9,2,10,7,5,57,89.79,100,100,100,93.875
1647497,100,100,100,81,70,96,100,51,0,87.25,12,15,15,11,11,12,87,87.22,70,70,70,80.3325
1647863,100,36,75,86,70,35,51,0,0,56.625,15,10,2,8,5,8,61,56.86,80,0,40,50.11625
1648009,85,10,50,0,0,0,0,0,0,18.125,0,10,2,3,0,0,20,18.22,88,25,56.5,33.53125
1648901,100,85,100,74,86,50,87,85,96,89.125,9,13,4,9,10,10,68,88.07,70,100,85,86.84125
1649022,100,80,50,31,63,45,100,65,0,66.75,15,12,4,8,5,9,65,66.68,75,75,75,70.0075
1649093,65,95,100,74,91,50,25,0,0,62.5,9,15,12,12,10,9,77,63.24,75,80,77.5,68.945
1649154,100,100,90,93,95,88,79,78,95,92.5,0,0,0,13,10,10,44,90.08,100,100,100,94.045
1649269,50,0,100,0,0,0,0,70,0,27.5,12,7,0,0,6,5,40,28.13,0,0,0,16.875
1649696,100,100,90,96,92,62,100,0,28,83.5,15,10,8,7,0,10,67,82.66,65,0,32.5,62.595
1649837,100,43,60,49,12,0,0,0,0,33,15,12,4,7,3,10,64,34.55,65,0,32.5,33.73
1650811,100,100,100,94,90,100,100,0,97,97.625,15,12,3,12,0,12,72,96.34,75,100,87.5,92.80625
1650850,100,41,100,0,0,18,0,69,0,41,9,10,2,7,10,9,60,41.95,44,40,42,41.97
1650915,100,91,100,90,97,92,100,63,92,95.25,9,4,4,7,6,9,47,92.82,70,50,60,79.6925
1651191,100,86,100,57,39,50,65,88,0,73.125,12,8,3,13,5,13,68,72.87,62,75,68.5,71.12125
1651532,100,43,50,50,0,40,0,97,0,47.5,9,15,2,9,4,11,64,48.33,100,100,100,68.995
1651780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652135,100,88,50,95,76,75,79,55,16,77.25,12,5,5,7,4,10,52,75.99,50,25,37.5,60.5925
1652214,100,56,75,39,61,25,56,59,0,58.875,12,10,2,5,8,8,57,58.8,75,67,71,63.67875
1652231,100,100,100,91,97,40,90,76,0,86.75,9,10,8,8,6,9,59,85.35,70,80,75,81.2075
1652356,100,100,25,0,0,18,23,80,5,43.875,9,10,5,0,4,6,45,43.95,88,50,69,53.96875
1654400,100,100,50,98,68,80,100,0,0,74.5,9,11,4,10,4,12,61,73.84,75,60,67.5,71.305
1654418,100,100,85,72,51,80,100,0,100,86,9,5,4,7,3,7,43,83.83,70,20,45,68.3
1654547,100,20,0,0,0,90,0,0,0,26.25,15,12,4,6,10,7,67,28.27,100,100,100,56.9625
1654734,45,73,40,78,0,53,79,89,85,67.75,15,8,2,5,8,8,59,67.3,65,60,62.5,65.3775
1655124,100,100,100,20,59,44,100,0,90,76.625,15,10,8,5,1,5,57,75.66,60,80,70,73.39625
1655334,0,0,0,0,0,0,0,0,0,0,12,7,6,0,7,0,43,2.133,0,0,0,1.28
1655407,100,96,65,85,70,96,83,58,80,84.375,9,15,2,11,9,9,71,83.69,70,60,65,76.21375
1656591,100,7,60,9,17,0,12,0,50,31.875,12,9,4,6,8,8,57,33.15,100,100,100,59.88875
1656696,100,80,90,57,64,50,74,90,86,80.125,15,7,5,11,6,9,64,79.32,50,75,62.5,72.59125
1656707,100,49,85,36,63,18,0,78,0,53.625,15,15,2,11,9,5,73,54.61,70,40,55,54.76625
1656925,100,80,70,0,93,0,70,71,0,60.5,0,0,0,4,0,0,5.3,57.74,100,0,50,54.645
1657048,65,91,50,0,76,44,100,0,0,53.25,0,12,4,0,0,7,31,52.12,50,60,55,53.2725
1657058,100,31,100,78,70,90,100,32,91,82.625,9,3,2,2,6,5,33,80.16,70,40,55,70.09625
1657135,100,23,100,75,87,50,100,0,80,76.875,12,5,2,8,6,8,52,75.63,50,43,46.5,63.97875
1657562,100,100,100,100,94,77,100,65,53,92,12,7,0,7,6,9,55,90.13,70,80,75,84.08
1657678,100,100,100,100,96,92,66,90,0,93,12,9,7,8,11,11,68,91.75,70,100,85,89.05
1658386,90,83,100,54,80,54,68,70,8,74.875,15,7,10,9,3,10,68,74.53,55,0,27.5,55.71875
1658433,100,60,65,41,71,66,73,64,88,73.375,12,7,5,8,5,6,51,72.24,70,40,55,65.34375
