CSC Averages
PeopleSoft Number,Prac Assignment Average,Quiz Average,Prac Test Average,Practical Average
1693763,92.875,92.1,100,95.25875
1693905,94.625,93.76,100,96.25625
1693907,97.625,96.61,80,89.96625
1694180,89.25,87.39,87.5,87.4325
1694489,99.5,99.13,100,99.475
1694522,92.75,92.38,100,95.4275
1694590,68.875,68.36,32.5,54.01875
1695288,67.75,67.3,27.5,51.3775
1695331,94.375,93.12,100,95.87375
1695599,93,92.08,100,95.25
1695677,93.5,91.76,90,91.055
1695932,51.75,50.23,30,42.1375
1695982,75.875,75.08,32.5,58.04875
1696007,57.5,56.49,85,67.895
1696082,80.25,79.1,97.5,86.4625
1696083,72,70.13,31,54.48
1696093,69.75,68.2,87.5,75.9175
1696222,96,95.13,100,97.08
1696259,93,91.02,75,84.61
1696395,95.875,95.61,100,97.36875
1696474,98.75,98.08,70,86.8475
1696534,96.375,94.89,90,92.93375
1696583,74.5,73.51,85,78.105
1696800,83.125,81.84,100,89.10125
1696950,59,58.65,45,53.19
1696996,97.25,96.32,75,87.7925
1696998,69.25,67.92,81.5,73.3525
1697030,92.75,90.85,40,70.5075
1697070,91.75,89.76,60,77.8575
1697304,97.25,97.05,100,98.2325
1697355,93.875,91.91,100,95.14875
1697467,89,88.82,100,93.29
1697486,91.75,90.1,100,94.0575
1697510,62.125,62.15,87.5,72.29125
1697511,46.125,46.35,87.5,62.81125
1697521,93.5,92.43,90,91.455
1697545,46,45.9,80,59.54
1697559,95.5,93.06,100,95.835
1697567,100,97.33,100,98.4
1697586,0,1.6,0,0.96
1697612,12.5,12.81,0,7.685
1697829,96.875,95.76,100,97.45875
1697836,41.25,43.52,50,46.1125
1698119,87.125,84.57,57.5,73.74125
1698290,18.875,19.46,27.5,22.67875
1698359,94.625,93.43,100,96.05625
1698430,96.25,96.3,100,97.7825
1698565,96.625,94.53,94,94.31625
1698724,95,93.65,85,90.19
1698727,0,0,0,0
1698814,65.375,64.51,100,78.70375
1698818,53.375,54.04,90,68.42375
1698919,98.125,97.49,100,98.49125
1698954,80.375,80.02,100,88.01375
1698983,42.75,43.41,27.5,37.0475
1699014,65.625,65.41,85,73.24625
1699020,97.75,96.4,100,97.8375
1699085,63,62.52,27.5,48.51
1699124,89.25,87.92,90,88.7525
1699141,100,98.13,100,98.88
1699163,95.125,94.64,100,96.78125
1699337,46.25,46.6,75,57.9625
1699457,95.25,94.49,100,96.6925
1699539,89.5,87.96,94,90.375
1699545,93.875,93.45,100,96.06875
1699600,91.75,90.36,80,86.2175
1699729,94.125,92.15,81.5,87.89125
1699730,58.375,58.46,45,53.07375
1700248,82,80.9,80,80.54
1700396,92.875,91.03,100,94.61875
1700580,68.125,68.05,95,78.83125
1700591,76.5,75.34,30,57.205
1700674,0,0,0,0
1701048,72,72.67,65,69.6
1701218,0,0,0,0
1701229,83.625,83.04,77.5,80.82625
1701603,90.75,89.08,72.5,82.4475
1701720,49.75,49.86,20,37.9175
1702043,83.25,81.95,70,77.1725
1702185,59.5,59.73,80,67.835
1702202,97.5,95.03,55,79.015
1702365,95.125,93.77,87.5,91.26125
1702618,48.125,48.85,45,47.31125
1702894,52.75,52.85,100,71.7075
1703214,47.5,46.53,35,41.915
1703300,86.75,85.88,87.5,86.5275
1703357,51.75,50.36,0,30.2175
1703544,37.625,38.48,87.5,58.08625
1703608,86.125,85.15,67.5,78.09125
1703616,86.125,84.75,87.5,85.85125
1703808,78.625,77.29,100,86.37625
1703844,61.125,61.27,47.5,55.76125
1703920,91.625,89.18,100,93.50625
1704006,91.625,91.38,100,94.82625
1704035,98.625,97.63,100,98.57625
1704040,96.75,95.51,100,97.3075
1704062,94.25,93.54,100,96.1225
1704160,62.875,63.46,87.5,73.07875
1704181,73,72.55,52.5,64.53
1704400,67.25,67.22,100,80.3325
1704469,92.125,91.72,100,95.03125
1704578,77.875,77.51,100,86.50875
1704591,97.625,95.54,100,97.32625
1704867,78.875,78.26,60,70.95875
1705027,86.5,85.18,85,85.105
1705054,89.375,87.64,100,92.58375
1705253,48.875,49.3,82.5,62.57875
1705469,98.125,97.62,100,98.57125
1705636,90.5,90.31,100,94.185
1705730,83.125,81.7,65,75.02125
1705876,58,57.57,50,54.54
1705886,49.125,49.07,30,41.44125
