CSC Quizes
PeopleSoft Number,Q1,Q2,Q3,Q4,Q5,Q6
1685822,15,9,13,6,6,11
1685842,15,7,2,9,3,9
1685860,12,8,7,10,9,11
1685873,12,12,5,12,12,12
1685875,12,10,2,1,4,5
1685884,9,5,4,6,3,9
1685927,9,9,0,0,9,7
1685934,9,5,2,9,5,11
1686488,12,15,10,5,13,13
1686497,12,10,2,4,7,11
1686716,15,10,10,11,9,10
1686852,0,10,7,0,0,0
1686857,9,5,2,10,8,10
1686900,0,15,10,11,12,10
1686924,15,15,13,13,9,13
1687024,15,7,5,8,6,9
1687047,12,7,4,7,7,9
1687175,15,12,5,4,11,10
1687199,0,12,13,8,4,11
1687209,15,12,4,5,6,13
1687248,12,7,13,13,8,12
1687355,0,0,0,3,0,0
1687409,12,13,11,7,5,8
1687473,15,13,13,13,9,13
1687483,9,5,4,9,3,7
1687497,0,10,0,0,0,0
1687539,15,15,7,11,9,10
1687635,12,13,2,13,10,8
1687656,9,10,7,7,6,13
1687714,12,7,8,7,7,13
1687884,12,8,0,5,5,10
1687927,12,9,4,9,0,0
1687952,15,12,10,12,3,9
1688027,15,15,8,13,13,10
1688058,9,12,4,7,7,11
1688096,15,9,13,5,11,11
1688167,12,7,5,10,5,12
1688180,15,15,13,13,13,14
1688204,15,11,2,8,5,0
1688210,12,3,2,4,6,8
1688225,15,9,6,4,3,9
1688270,15,12,7,9,4,6
1688277,12,7,4,4,10,6
1688280,15,15,13,12,7,14
1688362,3,5,2,8,0,0
1688586,6,12,2,7,6,6
1688612,15,10,4,12,13,11
1688654,15,15,6,6,6,8
1688726,15,12,10,10,6,9
1688861,15,13,10,14,8,14
1688914,12,10,4,15,7,11
1688927,12,7,2,6,6,7
1689042,12,5,0,8,6,7
1689116,12,12,13,8,9,10
1689150,15,12,4,2,3,4
1689344,12,12,9,11,9,12
1689526,9,7,0,0,0,0
1689571,15,9,7,9,4,8
1689614,15,5,8,10,5,13
1689679,12,8,4,9,6,10
1689762,9,12,2,7,5,9
1689828,15,10,7,10,7,6
1689848,9,13,0,8,6,6
1689935,15,10,4,7,9,12
1689939,15,13,15,15,13,14
1690024,15,7,0,4,3,6
1690113,9,13,2,11,7,14
1690303,12,9,4,7,0,0
1690367,12,15,15,11,11,13
1690411,15,10,4,3,0,6
1690459,0,0,0,0,0,0
1690470,12,13,10,11,6,12
1690569,9,10,7,4,5,5
1690594,15,15,8,9,8,12
1690786,12,10,7,13,3,10
1690805,12,7,4,8,5,8
1690837,15,9,6,6,5,8
1691017,15,12,13,12,8,9
1691158,12,10,0,4,7,7
1691402,15,10,7,7,6,10
1691441,12,0,2,11,4,9
1691561,0,13,7,8,10,9
1691567,12,8,5,9,7,8
