CSC Assignments
PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10
1659880,100,0,25,0,46,80,91,75,31
1660590,100,58,85,78,70,67,100,0,0
1661139,90,45,100,47,0,0,0,0,0
1661331,100,41,75,0,41,34,79,60,0
1661373,100,100,100,92,85,80,100,85,68
1662166,50,0,0,0,0,0,3,0,0
1662240,100,60,85,40,70,67,100,0,28
1662364,50,0,0,0,0,0,0,0,0
1662676,100,100,100,100,88,81,83,71,76
1662879,100,91,95,25,84,50,75,75,100
1662904,100,30,90,61,0,0,70,85,100
1663196,0,83,100,0,0,0,0,0,0
1663601,100,90,100,98,83,100,100,82,98
1663700,100,95,70,100,87,90,86,92,0
1664262,100,41,50,22,22,45,30,75,10
1664731,100,96,100,83,90,88,87,60,20
1664923,100,89,50,0,20,50,94,0,0
1664929,100,100,100,0,100,32,90,0,11
1664944,100,51,100,95,83,50,87,72,0
1665117,100,100,100,100,97,100,100,80,95
1665131,100,100,100,98,93,87,100,95,57
1665843,60,0,0,0,0,0,0,0,0
1666440,70,35,60,47,70,0,70,59,43
1666669,55,25,50,21,58,20,4,80,9
1667778,20,28,75,39,88,92,61,90,0
1668083,100,33,70,48,87,50,80,88,86
1668107,100,100,80,42,72,95,100,60,0
1668136,100,51,50,0,70,50,0,44,100
1668418,100,100,75,0,70,100,100,0,10
1669575,100,96,100,91,92,100,100,0,92
1669948,100,100,100,93,70,92,100,0,96
1669971,100,100,100,94,70,100,100,0,100
1670006,100,44,75,76,68,80,100,98,90
1670686,50,60,50,32,22,40,49,83,31
1670925,100,100,100,96,87,100,100,99,97
1671111,100,36,85,31,94,90,96,75,0
1671412,0,0,0,0,0,0,0,0,0
1671946,0,0,0,0,0,0,0,0,0
1673082,100,100,100,96,70,50,83,0,0
1673213,100,56,45,91,70,90,100,88,0
1673310,85,57,75,78,100,50,73,92,10
1675037,100,100,90,75,100,100,33,0,0
1675098,100,95,100,100,96,75,100,46,30
1678599,100,100,100,26,0,0,0,0,0
1682017,60,0,75,31,49,40,70,0,0
1684715,75,85,85,33,94,92,90,73,5
1684787,85,91,85,100,72,50,0,0,85
1684796,100,100,100,90,97,96,100,71,50
1684805,100,100,100,100,100,100,100,95,100
1684806,100,39,100,35,100,78,100,60,0
1684833,100,100,100,92,94,100,96,68,100
1684876,90,42,90,9,52,0,100,63,60
1684890,100,36,34,61,47,20,66,78,39
1684900,100,41,50,31,70,48,96,0,0
1684918,100,86,90,88,93,92,87,83,37
1684953,100,100,100,100,100,100,100,90,100
1685012,100,100,100,100,100,92,100,0,50
1685036,100,95,100,100,98,92,100,0,100
1685109,100,100,100,96,92,81,51,0,40
1685184,100,80,70,72,70,82,61,85,15
1685239,100,100,75,0,47,70,0,60,0
1685240,100,80,100,100,64,35,100,0,0
1685403,100,96,75,90,68,63,80,70,0
1685642,100,100,100,98,98,100,100,71,62
1685822,100,73,70,49,80,50,80,64,0
1685842,100,80,70,88,86,40,17,73,10
1685860,100,76,50,27,58,0,0,70,89
1685873,100,100,75,63,46,45,24,88,0
1685875,100,31,35,31,0,35,0,60,38
1685884,100,100,100,98,92,100,100,95,15
1685927,0,91,45,52,70,8,73,80,88
1685934,80,80,75,89,87,68,73,0,0
1686488,100,96,100,98,99,92,100,0,50
1686497,100,96,85,100,89,96,91,75,35
1686716,100,100,100,96,96,100,79,0,0
1686852,40,46,0,0,0,0,0,0,0
1686857,100,36,31,68,70,37,76,52,0
1686900,100,100,100,98,97,100,96,0,0
1686924,100,100,100,100,100,100,100,87,100
1687024,100,100,100,76,91,85,96,90,75
1687047,100,100,90,100,83,100,12,0,85
1687175,100,100,100,96,96,85,100,0,98
1687199,90,60,80,79,92,95,90,78,0
1687209,100,100,80,76,89,25,96,89,0
1687248,100,100,100,100,96,100,100,90,7
1687355,0,0,0,0,0,0,0,0,0
1687409,70,92,50,96,87,100,100,75,49
1687473,100,81,100,94,92,88,83,90,15
1687483,100,100,100,75,91,96,100,65,14
1687497,100,100,100,0,90,96,100,0,0
1687539,100,100,100,98,82,100,100,89,95
1687635,100,76,79,63,88,85,83,0,15
1687656,100,100,100,96,77,96,79,87,17
1687714,100,100,100,96,87,100,100,100,100
1687884,100,96,100,0,63,77,96,0,0
1687927,100,54,85,26,61,18,25,65,15
1687952,100,100,100,100,97,100,100,100,99
